,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Total Variation Assignment,1,1,1,1,1,1,1,1,1,0.131668016,0.317310508,0.157299207,0.273321678,0.317310508,0.157299207,0.236723571,0.102470435,0.052203635,0.157299207
Chi-Square Assignment,1,1,1,1,1,1,1,1,1,0.083264517,0.189255432,0.083264517,0.157299207,0.157299207,0.157299207,0.157299207,0.157299207,0.157299207,0.157299207
Uniform Assignment,1,1,1,1,1,1,1,1,1,0.083264517,0.045500264,0.009049234,0.019630657,0.034808479,0.033894854,0.006655605,0.059346439,0.025347319,0.025347319
Actual Assignment,1,1,1,1,1,1,1,1,1,2.70E-14,1.35E-12,0.00519346,0.025347319,0.006655605,0.004508698,0.019630657,0.014305878,0.034808479,0.025347319
