judge,INT2
A. J. McNamara,459.2307692
A. Richard Caputo,373.3880597
Abdul Kallon,380.7783019
Adalberto Jordan,431.4796905
Adrian G. Duplantier,393.3333333
Aida Delgado-Colon,403.8434579
Alan Angus McDonald,431
Alan Bond Johnson,202.211704
Alan Cooke Kay,370.2903226
Alan D Albright,572.1875
Alan Harris Nevas,179.8571429
Alan Neil Bloch,344.195
Alan Stephen Gold,396.6435272
Albert Vickers Bryan Jr.,274
Alexander Williams Jr.,503.0033003
Alfred M. Wolin,167.7777778
Alfred V. Covello,287.6833977
Alfredo Chavez Marquez,336.3333333
Algenon L. Marbley,242.0397351
Alia Moses,576.9405764
Alicemarie Huber Stotler,450.8495935
Alison J. Nathan,313.8961039
Allen G. Schwartz,199.6744186
Allen Sharp,312.3937824
Allison Dale Burroughs,172.9411765
Allyne R. Ross,294.6326241
Alvin Hellerstein,371.1223301
Alvin W. Thompson,257.4724062
Amit Mehta,114.4117647
Amos L. Mazzant III,348.2806052
Amul Thapar,471.0701107
Amy Berman Jackson,171.3684211
Amy Totenberg,328.7610619
Analisa Torres,268.1538462
Andre M. Davis,548.7992278
Andrew L. Carter Jr.,282.7777778
Andrew Patrick Gordon,489.9649123
Andrew Wendell Bogue,449.4666667
Andr̩ Birotte Jr.,465.5555556
Ann Aiken,511.3898305
Ann Aldrich,342.3448276
Ann D. Montgomery,366.4505929
Ann Donnelly,395.483871
Anna Diggs Taylor,557.8333333
Anne C. Conway,496.6
Anne Elise Thompson,178.6126761
Anthony A. Alaimo,352.7826087
Anthony J. Battaglia,280.3056351
Anthony Trenga,202.6706231
Anthony W. Ishii,589.2366684
Arthur Donald Spatt,302.1536458
Arthur J. Schwab,318.8642298
Arthur Tarnow,422.5363636
Audrey B. Collins,402.8284314
Audrey G. Fleissig,167.9483283
Avern Cohn,418.7768166
B. Lynn Winmill,408.2771792
Barbara Brandriff Crabb,247.2994772
Barbara Jacobs Rothstein,416.0851064
Barbara S. Jones,319.4358108
Barrington Daniels Parker Jr.,100
Barry Ted Moskowitz,323.2028821
Barry W. Ashe,700
Benita Y. Pearson,520.7894737
Benjamin Hale Settle,338.4509466
Benson Everett Legg,542.604
Berle M. Schiller,372.586
Bernard A. Friedman,407.6505495
Bernice B. Donald,268.425829
Berry Avant Edenfield,393.882494
Beryl A. Howell,165.9322034
Beth Bloom,342.6247289
Beth Labson Freeman,650.1176471
Beverly B. Martin,334.6564417
Beverly Reid O'Connell,399.6875
Billy Roy Wilson[Note 1],226.8
Brenda K. Sannes,269.1666667
Brian Anthony Jackson,355.6423174
Brian C. Wimes[Note 1],341.6123499
Brian Cogan,380.7536232
Brian J. Davis,537.8980892
Brian R. Martinotti,122.8571429
Brian Sandoval,459.6666667
Brian Stacy Miller,272.534965
Bruce Howe Hendricks,403.1818182
Bruce Sterling Jenkins,353.9393939
Bruce William Kauffman,363.72
C. Ashley Royal,90.62908497
C. Darnell Jones II,449.9111111
C. J. Williams,358.4615385
Callie V. Granade,233.6115214
Cameron McGowan Currie,206.8083333
Carl Barbier,408.1174089
Carlos Eduardo Mendoza,562.8865979
Carlos Murguia,470.8682927
Carlton W. Reeves,305.6521739
Carmen Consuelo Cerezo,367.1438849
Carol Bagley Amon,337.9515906
Carol E. Jackson,242.5774473
Catherine C. Blake,578.001581
Catherine D. Perry,228.248584
Catherine Eagles,334.609375
Cathy Bissoon,288.3098592
Cathy Seibel,336.1373391
Cecilia Altonaga,382.8813953
Charles A. Pannell Jr.,369.7446809
Charles Alexander Shaw,247.7650754
Charles B. Kornmann,347.517301
Charles C. Lovell,364.2777778
Charles J. Siragusa,157.8155198
Charles L. Brieant,216.9096774
Charles Lynwood Smith Jr.,361.2649165
Charles N. Clevert Jr.,438.2460137
Charles Proctor Sifton,444.6143791
Charles R. Breyer,569.6352584
Charles Ralph Simpson III,436.6777317
Charles Robert Wolle,303.9761905
Charles S. Haight Jr.,378.5714286
Charles W. Pickering,401.04
Charles Weston Houck,292.1523438
Christina A. Snyder,441.8864169
Christina Reiss,414.7890295
Christine Arguello,430.5851979
Christopher A. Boyko,460.8674699
Christopher C. Conner,336.801406
Christopher F. Droney,217.5136612
Christopher R. Cooper,77.75
Cindy K. Jorgenson,417.7566653
Claire C. Cecchi,140.5217391
Clarence Addison Brimmer Jr.,172.4508009
Clarence Cooper,384.5544304
Claria Horn Boom[Note 1],459
Clark Waddoups,446.4334862
Claude M. Hilton,217.7937282
Clay D. Land,129.7099448
Colin S. Bruce,447.768595
Colleen Kollar-Kotelly,217.027668
Colleen McMahon,281.7612208
Consuelo Bland Marshall,447.1428571
Cormac J. Carney,428.8251634
Curtis Lynn Collier,463.4060976
Curtis V. Gomez,107.9082278
Cynthia M. Rufe,392.399177
D. Brock Hornby,240.6055901
D. Brooks Smith,304.4444444
D. Lowell Jensen,529.6640472
