,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Total Variation Assignment,0,0,0,0,0,0,0,0,0,10.1334626,9.7539444,9.434854935,9.693761606,7.562491051,7.979121283,7.190873747,10.13117671,10.02036899,11.28580447
Chi-Square Assignment,0,0,0,0,0,0,0,0,0,15.62858365,11.08650593,16.15233086,11.97165553,10.58943877,10.19376467,11.47350693,14.53881161,13.6048213,12.66504329
Uniform Assignment,0,0,0,0,0,0,0,0,0,14.24132986,15.4149434,16.67160286,15.06647119,12.79944165,13.04437415,14.05058797,14.27138329,11.9263645,15.08079004
Actual Assignment,0,0,0,0,0,0,0,0,0,26.43552714,24.54921515,18.84460696,16.46645515,15.19635723,14.28027483,14.77198536,14.53023887,14.15848355,13.86762266
